Index,Season,Year,Name,Studio,Episodes,Episode Duration,Genres,Release Date,Source,Score
3299,spring,2010,Detective Conan OVA 10: Kid in Trap Island,TMS Entertainment,1,,"Shounen,Police,Mystery,Comedy,Adventure",40282,Manga,
3335,spring,2010,Doraemon Movie 30: Nobita no Ningyo Daikaisen,Shin-Ei Animation,1,99,"Shounen,Kids,Fantasy,Comedy,Adventure",40243,Manga,
3277,spring,2010,Durarara!!,Brain's Base,24,24,"Supernatural,Mystery,Action",40277,Light Novel,8.12
3280,spring,2010,Evangelion Shin Gekijouban: Ha,Studio Khara,1,112,"Sci-Fi,Mecha,Action",40324,Original,8.16
3296,spring,2010,Eve no Jikan (Movie),Studio Rikka,1,106,"Slice of Life,Sci-Fi",40243,Original,7.68
3269,spring,2010,Fairy Tail,A-1 Pictures,175,24,"Shounen,Magic,Fantasy,Comedy,Adventure,Action",40280,Manga,7.84
3276,spring,2010,Fullmetal Alchemist: Brotherhood Specials,Bones,4,15,"Shounen,Military,Magic,Fantasy,Drama,Adventure",40289,Manga,7.93
3354,spring,2010,GA: Geijutsuka Art Design Class: Aozora ga Kakitai,AIC Plus+,1,,"Slice of Life,Seinen,School,Comedy",40270,4-koma Manga,
3318,spring,2010,Giant Killing,Studio Deen,26,24,"Sports,Seinen,Drama",40272,Manga,7.62
3286,spring,2010,Gintama Movie 1: Shinyaku Benizakura-hen,Sunrise,1,95,"Sci-Fi,Samurai,Parody,Historical,Comedy,Action",40292,Manga,8.37
3297,spring,2010,Gintama: Dai Hanseikai,Sunrise,1,,"Samurai,Parody,Comedy,Action",40262,Manga,
3306,spring,2010,Haiyoru! Nyaruani,DLE,9,2,"Sci-Fi,Parody,Comedy",40254,Light Novel,
3310,spring,2010,Hakuouki,Studio Deen,12,23,"Supernatural,Samurai,Josei,Historical,Drama,Action",40272,Visual Novel,7.31
3341,spring,2010,Hanamaru Youchien: Panda Neko Taisou,,8,1,"Music,Kids,Comedy",40324,Source Unknown,
3343,spring,2010,Heartcatch Precure!,Toei Animation,49,24,"Shoujo,School,Magic,Fantasy,Comedy,Action",40272,Original,
3330,spring,2010,Heroman,Bones,26,24,"Shounen,Sci-Fi,Action",40269,Original,
3325,spring,2010,Hetalia Axis Powers Fan Disc,Studio Deen,3,10,"Parody,Historical,Comedy",40323,Digital Manga,
3300,spring,2010,Hetalia World Series,Studio Deen,48,5,"Parody,Historical,Comedy",40263,Digital Manga,7.59
3283,spring,2010,Higashi no Eden Movie II: Paradise Lost,Production I.G,1,92,"Thriller,Romance,Mystery,Drama,Comedy,Action",40250,Original,7.55
3359,spring,2010,Hime Chen! Otogi Chikku Idol Lilpri,TMS Entertainment,51,24,"Shoujo,Magic",40272,Game,
3355,spring,2010,Honey Tokyo,Studio 4°C,1,,Sci-Fi,40269,Source Unknown,
3270,spring,2010,Ichiban Ushiro no Daimaou,Artland,12,23,"Magic,Harem,Fantasy,Ecchi,Comedy,Action",40271,Light Novel,6.8
3311,spring,2010,Ikkitousen: Xtreme Xecutor,Arms,12,24,"Superpower,School,Martial Arts,Ecchi,Action",40270,Manga,
3353,spring,2010,Jewelpet Twinkle☆,Comet,52,24,"Shoujo,School,Magic,Fantasy",40271,Original,
3340,spring,2010,Kachou no Koi,Panda Factory,1,,"Yaoi,Romance,Comedy",40263,Manga,
3271,spring,2010,Kaichou wa Maid-sama!,J.C.Staff,26,24,"Shoujo,School,Romance,Comedy",40270,Manga,8.13
3344,spring,2010,Kaidan Restaurant,Toei Animation,23,19,"Supernatural,Mystery,Kids,Horror",40281,Picture Book,
3294,spring,2010,Katanagatari,White Fox,12,50,"Romance,Martial Arts,Historical,Adventure,Action",40285,Light Novel,8.31
3305,spring,2010,Katekyo Hitman Reborn! Special,Artland,1,,"Superpower,Shounen,Comedy,Action",40238,Manga,
3321,spring,2010,Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,Artland,3,3,"Superpower,Shounen,Comedy,Action",40275,Manga,
3322,spring,2010,Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,Artland,3,3,"Superpower,Shounen,Comedy,Action",40305,Manga,
3361,spring,2010,Kihei Senki Legacies,,1,,"Mecha,Fantasy",40269,Source Unknown,
3273,spring,2010,Kiss × Sis (TV),feel.,12,24,"Seinen,School,Romance,Harem,Ecchi,Comedy",40273,Manga,6.81
3278,spring,2010,K-On!!,KyoAni,26,24,"Slice of Life,School,Music,Comedy",40275,4-koma Manga,8.24
3332,spring,2010,Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!,Rising Force,1,,Comedy,40307,Other,
3292,spring,2010,Magic Kaito,TMS Entertainment,12,23,"Shounen,Romance,Comedy,Adventure",40285,Source Unknown,7.97
3352,spring,2010,Mai-Otome Special: Otome no Inori,Sunrise,1,,"Slice of Life,School",40263,Source Unknown,
3320,spring,2010,Major S6,SynergySP,25,24,"Sports,Drama,Comedy",40271,Manga,8.13
3363,spring,2010,Marie & Gali ver. 2.0,Toei Animation,30,5,Comedy,40274,Original,
3295,spring,2010,Mayoi Neko Overrun!,AIC,13,24,"Romance,Harem,Comedy",40274,Light Novel,6.96
3307,spring,2010,Metal Fight Beyblade: Baku,SynergySP,51,25,"Sports,Comedy,Adventure",40272,Source Unknown,7.28
3365,spring,2010,Mori no Ratio,,,5,"Kids,Fantasy,Adventure",40263,Source Unknown,
3356,spring,2010,Nisshin Seifun Group CM,Studio Ghibli,3,,"Slice of Life,Kids",40210,Source Unknown,
3303,spring,2010,Nodame Cantabile Finale Special,J.C.Staff,1,,"Romance,Music,Josei,Comedy",40275,Manga,
