Index,Anime Index,Genre
290,29,England
291,29,Europe
292,29,Historical
293,29,Medieval
294,29,Revenge
295,29,Swordplay
296,29,War
297,29,Weak to Strong
298,29,Based on a Manga
299,30,Fantasy
300,30,Seinen
301,30,Episodic
302,30,Iyashikei
303,30,Supernatural
304,30,Based on a Manga
305,31,Action
306,31,Comedy
307,31,Drama
308,31,Sci Fi
309,31,Shounen
310,31,Aliens
311,31,Crude
312,31,Feudal Japan
313,31,Gag
314,31,Samurai
315,31,Slapstick
316,31,Swordplay
317,31,Based on a Manga
318,32,Fantasy
319,32,Slice of Life
320,32,Animal Characteristics
321,32,Animal Transformation
322,32,Childcare
323,32,Coming of Age
324,32,Contemporary Fantasy
325,32,Countryside
326,32,Family Life
327,32,Lifestyle Change
328,32,Single Parent
329,32,Werewolves
330,32,Original Work
331,33,Drama
332,33,Romance
333,33,Illness
334,33,Senpai-Kouhai Relationship
335,33,Supernatural
336,33,Time Travel
337,33,Based on a Light Novel
338,34,Drama
339,34,Shoujo
340,34,Slice of Life
341,34,Bodyguards
342,34,Cats
343,34,Countryside
344,34,Episodic
345,34,Iyashikei
346,34,Japanese Mythology
347,34,Orphans
348,34,Supernatural
349,34,Youkai
350,34,Based on a Manga
351,35,Adventure
352,35,Fantasy
353,35,Mystery
354,35,Sci Fi
355,35,Seinen
356,35,Androids
357,35,Curse
358,35,Dark Fantasy
359,35,Melancholy
360,35,Non-Human Protagonists
361,35,Orphans
362,35,Outside World
363,35,Psychological
364,35,Robots
365,35,Based on a Manga
366,36,Action
367,36,Drama
368,36,Shounen
369,36,Sports
370,36,Boxing
371,36,Hand to Hand Combat
372,36,Tournaments
373,36,Based on a Manga
374,37,Shounen
375,37,Sports
376,37,School Club
377,37,School Life
378,37,Tournaments
379,37,Volleyball
380,37,Based on a Manga
381,38,Drama
382,38,Shoujo
383,38,Slice of Life
384,38,Bodyguards
385,38,Cats
386,38,Countryside
387,38,Episodic
388,38,Iyashikei
389,38,Japanese Mythology
390,38,Orphans
391,38,Supernatural
392,38,Youkai
393,38,Based on a Manga
394,39,Action
395,39,Drama
396,39,Shounen
397,39,Sports
398,39,Boxing
399,39,Hand to Hand Combat
400,39,Weak to Strong
401,39,Based on a Manga
402,40,Adventure
403,40,Fantasy
404,40,Romance
405,40,Curse
406,40,Family Friendly
407,40,Lifestyle Change
408,40,Magic
409,40,Witches
410,40,Based on a Novel
411,41,Mecha
412,41,Sci Fi
413,41,Conspiracy
414,41,Mind Games
415,41,Overpowered Main Characters
416,41,Political
417,41,Psychological
418,41,Real Robot
419,41,Rebellions
420,41,Revenge
421,41,Rivalries
422,41,Royalty
423,41,Superpowers
424,41,Terrorism
425,41,Original Work
426,42,Drama
427,42,Josei
428,42,Adult Couples
429,42,Animeism
430,42,Apprenticeship
431,42,Historical
432,42,Rakugo
433,42,Based on a Manga
434,43,Action
435,43,Drama
436,43,Ecchi
437,43,Psychological
438,43,Supernatural
439,43,Vampires
440,43,Based on a Light Novel
441,44,Action
442,44,Adventure
443,44,Shounen
444,44,Europe
445,44,Italy
446,44,Supernatural
447,44,Based on a Manga
448,45,Action
449,45,Adventure
450,45,Fantasy
451,45,Curse
452,45,Environmental
453,45,Feudal Japan
454,45,Forest
455,45,Japanese Mythology
456,45,Royalty
457,45,Original Work
458,46,Comedy
459,46,Drama
460,46,Supernatural
461,46,Based on a Light Novel
462,47,Action
463,47,Fantasy
464,47,Chinese Animation
465,47,Cultivation
466,47,Xianxia
467,47,Based on a Novel
468,47,CG Animation
469,48,Action
470,48,Comedy
471,48,Drama
472,48,Sci Fi
473,48,Shounen
474,48,Aliens
475,48,Crude
476,48,Feudal Japan
477,48,Gag
478,48,Samurai
479,48,Slapstick
480,48,Swordplay
481,48,Based on a Manga
