Index,Title,Type,Episodes,Ongoing,Release Season,Start Year,End Year
60,The Disappearance of Haruhi Suzumiya,Movie,1,false,,2010-01-01 00:00:00,2010-01-01 00:00:00
61,Hajime no Ippo: Rising,TV,25,false,Fall,2013-01-01 00:00:00,2014-01-01 00:00:00
62,Fate/Zero 2,TV,12,false,Spring,2012-01-01 00:00:00,2012-01-01 00:00:00
63,Cowboy Bebop,TV,26,false,Spring,1998-01-01 00:00:00,1999-01-01 00:00:00
64,The Garden of Sinners Movie 5: Paradox Paradigm,Movie,1,false,,2008-01-01 00:00:00,2008-01-01 00:00:00
65,ERASED,TV,12,false,Winter,2016-01-01 00:00:00,2016-01-01 00:00:00
66,Mo Dao Zu Shi 2,Web,8,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
67,I Want to Eat Your Pancreas,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
68,Bunny Drop,TV,11,false,Summer,2011-01-01 00:00:00,2011-01-01 00:00:00
69,Dr. Stone,TV,24,false,Summer,2019-01-01 00:00:00,2019-01-01 00:00:00
70,The Disastrous Life of Saiki K. 2nd Season,TV,24,false,Winter,2018-01-01 00:00:00,2018-01-01 00:00:00
71,Fruits Basket 2nd Season,TV,10,true,Spring,2020-01-01 00:00:00,
72,Hotarubi no Mori e,Movie,1,false,,2011-01-01 00:00:00,2011-01-01 00:00:00
73,Yona of the Dawn: Zeno Arc,OVA,2,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
74,Great Teacher Onizuka,TV,43,false,Summer,1999-01-01 00:00:00,2000-01-01 00:00:00
75,Natsume's Book of Friends Season 2,TV,13,false,Winter,2009-01-01 00:00:00,2009-01-01 00:00:00
76,Your lie in April,TV,22,false,Fall,2014-01-01 00:00:00,2015-01-01 00:00:00
77,Mushishi Zoku Shou: Odoro no Michi,"",1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
78,Legend of the Galactic Heroes,OVA,110,false,,1988-01-01 00:00:00,1997-01-01 00:00:00
79,Kizumonogatari Movie 2: Nekketsu,Movie,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
80,Violet Evergarden: Eternity and the Auto Memory Doll,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
81,Kuroko's Basketball 3,TV,25,false,Winter,2015-01-01 00:00:00,2015-01-01 00:00:00
82,Attack on Titan 3rd Season,TV,12,false,Summer,2018-01-01 00:00:00,2018-01-01 00:00:00
83,Chihayafuru 3,TV,24,false,Fall,2019-01-01 00:00:00,2020-01-01 00:00:00
84,JoJo's Bizarre Adventure: Diamond is Unbreakable,TV,39,false,Spring,2016-01-01 00:00:00,2016-01-01 00:00:00
85,Bakuman. 3,TV,25,false,Fall,2012-01-01 00:00:00,2013-01-01 00:00:00
86,Natsume's Book of Friends Movie: Ephemeral Bond,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
87,My Hero Academia,TV,13,false,Spring,2016-01-01 00:00:00,2016-01-01 00:00:00
88,JoJoâ€™s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV,24,false,Winter,2015-01-01 00:00:00,2015-01-01 00:00:00
89,Violet Evergarden,TV,13,false,Winter,2018-01-01 00:00:00,2018-01-01 00:00:00
90,That Time I Got Reincarnated as a Slime,TV,24,false,Fall,2018-01-01 00:00:00,2019-01-01 00:00:00
91,Given,TV,11,false,Summer,2019-01-01 00:00:00,2019-01-01 00:00:00
92,Kamisama Kiss: Kako-hen,OVA,4,false,,2015-01-01 00:00:00,2016-01-01 00:00:00
93,Kuroko's Basketball 2,TV,25,false,Fall,2013-01-01 00:00:00,2014-01-01 00:00:00
94,Youjo Senki: Saga of Tanya the Evil Movie,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
95,Steins;Gate Movie: Load Region of Deja Vu,Movie,1,false,,2013-01-01 00:00:00,2013-01-01 00:00:00
96,Natsume's Book of Friends Season 6 Specials,DVD Special,2,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
97,The Boy and the Beast,Movie,1,false,,2015-01-01 00:00:00,2015-01-01 00:00:00
98,Death Note,TV,37,false,Fall,2006-01-01 00:00:00,2007-01-01 00:00:00
99,Parasyte -the maxim-,TV,24,false,Fall,2014-01-01 00:00:00,2015-01-01 00:00:00
100,Major Season 5,TV,25,false,Winter,2009-01-01 00:00:00,2009-01-01 00:00:00
101,Food Wars! The Second Plate,TV,13,false,Summer,2016-01-01 00:00:00,2016-01-01 00:00:00
102,Fruits Basket 1st Season,TV,25,false,Spring,2019-01-01 00:00:00,2019-01-01 00:00:00
103,Made in Abyss Movie: Dawn of the Deep Soul,Movie,1,false,,2020-01-01 00:00:00,2020-01-01 00:00:00
104,The Rising of the Shield Hero,TV,25,false,Winter,2019-01-01 00:00:00,2019-01-01 00:00:00
105,The Garden of Sinners Movie 7: ......Not Nothing Heart. (Murder Speculation Part B),Movie,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
106,Mob Psycho 100,TV,12,false,Summer,2016-01-01 00:00:00,2016-01-01 00:00:00
107,Mushishi,TV,26,false,Fall,2005-01-01 00:00:00,2006-01-01 00:00:00
108,Fate/stay night: Heaven's Feel II. lost butterfly,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
109,Attack on Titan,TV,25,false,Spring,2013-01-01 00:00:00,2013-01-01 00:00:00
110,Gintama: Shinyaku Benizakura-hen,Movie,1,false,,2010-01-01 00:00:00,2010-01-01 00:00:00
111,Ghost in the Shell: Stand Alone Complex 2nd Gig,TV,26,false,Winter,2004-01-01 00:00:00,2005-01-01 00:00:00
112,Ascendance of a Bookworm: Part II,TV,11,true,Spring,2020-01-01 00:00:00,
113,Hellsing Ultimate,OVA,10,false,,2006-01-01 00:00:00,2012-01-01 00:00:00
114,My Hero Academia Movie 2: Heroes:Rising,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
