Index,Title,Type,Episodes,Ongoing,Release Season,Start Year,End Year
2359,Metropolis,Movie,1,false,,2001-01-01 00:00:00,2001-01-01 00:00:00
2360,Mai Mai Miracle,Movie,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
2361,Wasurenagumo,Movie,1,false,,2012-01-01 00:00:00,2012-01-01 00:00:00
2362,Paulette no Isu,Web,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2363,Speed Grapher,TV,24,false,Spring,2005-01-01 00:00:00,2005-01-01 00:00:00
2364,Tsugumomo 2,TV,11,true,Spring,2020-01-01 00:00:00,
2365,Whistle!,TV,39,false,Spring,2002-01-01 00:00:00,2003-01-01 00:00:00
2366,Pokemon Movie 1: The First Movie,Movie,1,false,,1998-01-01 00:00:00,1998-01-01 00:00:00
2367,They Are My Noble Masters,TV,13,false,Winter,2008-01-01 00:00:00,2008-01-01 00:00:00
2368,Ah! My Goddess,OVA,5,false,,1993-01-01 00:00:00,1994-01-01 00:00:00
2369,King of Thorn,Movie,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
2370,Hugtto! Pretty Cure x Futari wa Pretty Cure Movie: All Stars Memories,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2371,City Hunter: Bay City Wars,Movie,1,false,,1990-01-01 00:00:00,1990-01-01 00:00:00
2372,Love Lab,TV,13,false,Summer,2013-01-01 00:00:00,2013-01-01 00:00:00
2373,You're Under Arrest: Full Throttle,TV,23,false,Fall,2007-01-01 00:00:00,2008-01-01 00:00:00
2374,Cyber Formula Graffiti,OVA,1,false,,1992-01-01 00:00:00,1992-01-01 00:00:00
2375,This Art Club Has a Problem!,TV,12,false,Summer,2016-01-01 00:00:00,2016-01-01 00:00:00
2376,Doraemon (1973),TV,26,false,,1973-01-01 00:00:00,1973-01-01 00:00:00
2377,Solty Rei,TV,24,false,Fall,2005-01-01 00:00:00,2006-01-01 00:00:00
2378,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,Movie,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2379,Wang Gu Xian Qiong,Web,12,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2380,One Piece 3D: Mugiwara Chase,Movie,1,false,,2011-01-01 00:00:00,2011-01-01 00:00:00
2381,Star Blazers: The Quest for Iscandar,TV,26,false,,1974-01-01 00:00:00,1975-01-01 00:00:00
2382,"Say ""I love you."" OVA",OVA,1,false,,2013-01-01 00:00:00,2013-01-01 00:00:00
2383,Strike the Blood IV,OVA,2,true,,2020-01-01 00:00:00,
2384,Ling Jian Zun,Web,30,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
2385,Tamayura: More Aggressive,TV,12,false,Summer,2013-01-01 00:00:00,2013-01-01 00:00:00
2386,Sailor Moon S Memorial,OVA,1,false,,1999-01-01 00:00:00,1999-01-01 00:00:00
2387,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,TV,373,false,,1996-01-01 00:00:00,2004-01-01 00:00:00
2388,Yu Yu Hakusho The Movie: Poltergeist Report,Movie,1,false,,1994-01-01 00:00:00,1994-01-01 00:00:00
2389,Twin Star Exorcists,TV,50,false,Spring,2016-01-01 00:00:00,2017-01-01 00:00:00
2390,Black Jack 21,TV,17,false,Spring,2006-01-01 00:00:00,2006-01-01 00:00:00
2391,Pigtails,Movie,1,false,,2015-01-01 00:00:00,2015-01-01 00:00:00
2392,Lupin III Special 19: Kiri no Elusive,TV Special,1,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2393,Hi no Ame ga Furu,Movie,1,false,,1988-01-01 00:00:00,1988-01-01 00:00:00
2394,Detective Conan OVA 1: Conan vs Kid vs YAIBA,OVA,1,false,,2001-01-01 00:00:00,2001-01-01 00:00:00
2395,Symphogear G,TV,13,false,Summer,2013-01-01 00:00:00,2013-01-01 00:00:00
2396,Rurouni Kenshin DVD-BOX Zenshu Kenshinden,DVD Special,1,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2397,Vampire Hunter D,Movie,1,false,,1985-01-01 00:00:00,1985-01-01 00:00:00
2398,Blood Lad OVA,OVA,1,false,,2013-01-01 00:00:00,2013-01-01 00:00:00
2399,Chain Chronicle: The Light of Haecceitas - Movie 3,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2400,Wangan Midnight,TV,26,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2401,Z-Kai: Cross Road,Other,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2402,UQ Holder!,TV,12,false,Fall,2017-01-01 00:00:00,2017-01-01 00:00:00
2403,Ling Yu 4th Season,Web,12,false,,2017-01-01 00:00:00,2018-01-01 00:00:00
2404,Patlabor: The Mobile Police TV,TV,47,false,,1989-01-01 00:00:00,1990-01-01 00:00:00
2405,Diary of Our Days at the Breakwater,TV,3,true,Spring,2020-01-01 00:00:00,
2406,Mahoromatic 2,TV,14,false,Fall,2002-01-01 00:00:00,2003-01-01 00:00:00
2407,Planet With,TV,12,false,Summer,2018-01-01 00:00:00,2018-01-01 00:00:00
2408,One Piece: The Desert Princess and the Pirates - Adventures in Alabasta Prologue,OVA,1,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2409,Gargantia on the Verdurous Planet Specials,DVD Special,2,false,,2013-01-01 00:00:00,2013-01-01 00:00:00
2410,Karneval OVA,OVA,1,false,,2012-01-01 00:00:00,2012-01-01 00:00:00
2411,Dear Brother,TV,39,false,,1991-01-01 00:00:00,1992-01-01 00:00:00
2412,Kimi ni Todoke - From Me To You 2nd Season Specials,DVD Special,4,false,,2011-01-01 00:00:00,2011-01-01 00:00:00
2413,Mobile Suit Gundam: The 08th MS Team - A Battle With The Third Dimension,OVA,1,false,,2013-01-01 00:00:00,2013-01-01 00:00:00
2414,GJ-bu@,TV Special,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2415,Giant Gorg,TV,26,false,,1984-01-01 00:00:00,1984-01-01 00:00:00
2416,The iDOLM@STER,TV,25,false,Summer,2011-01-01 00:00:00,2011-01-01 00:00:00
2417,Tengen Toppa Gurren Lagann Parallel Works,Music Video,8,false,,2008-01-01 00:00:00,2008-01-01 00:00:00
2418,Genocidal Organ,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2419,Inazuma Eleven,TV,127,false,Fall,2008-01-01 00:00:00,2011-01-01 00:00:00
2420,Pokemon XY,TV,93,false,Fall,2013-01-01 00:00:00,2015-01-01 00:00:00
2421,Kodomo no Jikan: Ni Gakki,OVA,3,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
2422,Jyu-Oh-Sei,TV,11,false,Spring,2006-01-01 00:00:00,2006-01-01 00:00:00
2423,Captain Tsubasa (2018),TV,52,false,Spring,2018-01-01 00:00:00,2019-01-01 00:00:00
2424,Touken Ranbu: Hanamaru ~Makuai Kaisouroku~,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2425,Buddha 2: Tezuka Osamu no Buddha: Owarinaki Tabi,Movie,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2426,Tokyo Marble Chocolate,OVA,2,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2427,Symphogear GX,TV,13,false,Summer,2015-01-01 00:00:00,2015-01-01 00:00:00
2428,Saiyuki Reload Blast,TV,12,false,Summer,2017-01-01 00:00:00,2017-01-01 00:00:00
2429,Reikenzan: Eichi e no Shikaku,TV,12,false,Winter,2017-01-01 00:00:00,2017-01-01 00:00:00
2430,Gunbuster 2 Movie,Movie,1,false,,2006-01-01 00:00:00,2006-01-01 00:00:00
2431,Tamako Market,TV,12,false,Winter,2013-01-01 00:00:00,2013-01-01 00:00:00
2432,Amanchu!,TV,12,false,Summer,2016-01-01 00:00:00,2016-01-01 00:00:00
2433,Air in Summer,TV Special,2,false,,2005-01-01 00:00:00,2005-01-01 00:00:00
2434,Fate/stay night: TV reproduction,OVA,2,false,,2010-01-01 00:00:00,2011-01-01 00:00:00
2435,Gundam Build Divers Re:RISE 2nd Season,Web,5,true,Spring,2020-01-01 00:00:00,
2436,Infinite Ryvius,TV,26,false,Fall,1999-01-01 00:00:00,2000-01-01 00:00:00
2437,Maria Watches Over Us Specials,DVD Special,7,false,,2004-01-01 00:00:00,2004-01-01 00:00:00
2438,The TV Show,Music Video,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
2439,Big Windup! The Basics of Basics,DVD Special,1,false,,2008-01-01 00:00:00,2008-01-01 00:00:00
2440,Isekai Izakaya: Japanese Food From Another World,TV,24,false,Spring,2018-01-01 00:00:00,2018-01-01 00:00:00
2441,Youkai Watch Movie 5: Forever Friends,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2442,UQ Holder! OVA,OVA,3,false,,2017-01-01 00:00:00,2018-01-01 00:00:00
2443,Ghost Messenger,OVA,6,false,,2010-01-01 00:00:00,2014-01-01 00:00:00
2444,Appleseed Alpha,Movie,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2445,Mahoraba: Heartful Days,TV,26,false,Winter,2005-01-01 00:00:00,2005-01-01 00:00:00
2446,Zoku Touken Ranbu: Hanamaru,TV,12,false,Winter,2018-01-01 00:00:00,2018-01-01 00:00:00
2447,"Yuyushiki: Komarasetari, Komarasaretari",OVA,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2448,3000 Leagues in Search of Mother Movie,Movie,1,false,,1980-01-01 00:00:00,1980-01-01 00:00:00
2449,Fate/Apocrypha,TV,25,false,Summer,2017-01-01 00:00:00,2017-01-01 00:00:00
2450,Ginga Hyouryuu Vifam,TV,46,false,,1983-01-01 00:00:00,1984-01-01 00:00:00
2451,MM!,TV,12,false,Fall,2010-01-01 00:00:00,2010-01-01 00:00:00
2452,One Piece: Dream Soccer King!,Other,1,false,,2002-01-01 00:00:00,2002-01-01 00:00:00
2453,Vampire Knight,TV,13,false,Spring,2008-01-01 00:00:00,2008-01-01 00:00:00
2454,Girls und Panzer: Fushou - Akiyama Yukari no Sensha Kouza - Extra,Other,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2455,Laughing Under the Clouds Gaiden: Movie 1,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2456,STARMYU 2,TV,12,false,Spring,2017-01-01 00:00:00,2017-01-01 00:00:00
2457,Big Windup! 2: Goals,DVD Special,1,false,,2010-01-01 00:00:00,2010-01-01 00:00:00
2458,Gunslinger Girl: Il Teatrino OVA,OVA,2,false,,2008-01-01 00:00:00,2008-01-01 00:00:00
2459,Lupin III Special 24: Touhou Kenbunroku - Another Page,TV Special,1,false,,2012-01-01 00:00:00,2012-01-01 00:00:00
2460,Mazinger Edition Z: The Impact!,TV,26,false,Spring,2009-01-01 00:00:00,2009-01-01 00:00:00
2461,Fate/kaleid Liner Prisma Illya 2wei Herz!,TV,10,false,Summer,2015-01-01 00:00:00,2015-01-01 00:00:00
2462,RIN-NE 3,TV,25,false,Spring,2017-01-01 00:00:00,2017-01-01 00:00:00
2463,Genius Party,Other,7,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2464,Domestic Girlfriend,TV,12,false,Winter,2019-01-01 00:00:00,2019-01-01 00:00:00
2465,Arifureta: From Commonplace to World's Strongest,TV,13,false,Summer,2019-01-01 00:00:00,2019-01-01 00:00:00
2466,Tower of Druaga: The Aegis of Uruk: Jil no Bouken,TV Special,1,false,,2008-01-01 00:00:00,2008-01-01 00:00:00
2467,Dragon Ball Z Movie 13: Wrath of the Dragon,Movie,1,false,,1995-01-01 00:00:00,1995-01-01 00:00:00
2468,Caramel Honey,Other,30,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2469,Reikenzan: Hoshikuzu-tachi no Utage,TV,12,false,Winter,2016-01-01 00:00:00,2016-01-01 00:00:00
2470,Lupin III Special 17: Angel Tactics,TV Special,1,false,,2005-01-01 00:00:00,2005-01-01 00:00:00
2471,JoJo's Bizarre Adventure (2000),OVA,7,false,,2000-01-01 00:00:00,2000-01-01 00:00:00
2472,Rewrite 2,TV,11,false,Winter,2017-01-01 00:00:00,2017-01-01 00:00:00
2473,Wang Gu Xian Qiong II,Web,12,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2474,Monster Musume no Iru Nichijou,TV,12,false,Summer,2015-01-01 00:00:00,2015-01-01 00:00:00
2475,Utawarerumono OVA,OVA,3,false,,2009-01-01 00:00:00,2010-01-01 00:00:00
2476,Fate/Kaleid Liner Prisma Illya 2wei!,TV,10,false,Summer,2014-01-01 00:00:00,2014-01-01 00:00:00
2477,Cat Shit One,Web,1,false,Summer,2010-01-01 00:00:00,2010-01-01 00:00:00
2478,Pokemon: The Origin of Mewtwo,Other,1,false,,1999-01-01 00:00:00,1999-01-01 00:00:00
2479,Cheonnyeon-yeowoo Yeowoobi,Movie,1,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2480,Prince of Tennis: Best Games!!,OVA,2,true,,2018-01-01 00:00:00,
2481,Chain Chronicle: The Light of Haecceitas - Movie 2,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2482,Final Yamato,Movie,1,false,,1983-01-01 00:00:00,1983-01-01 00:00:00
2483,Ai Yori Aoshi Enishi,TV,12,false,Fall,2003-01-01 00:00:00,2003-01-01 00:00:00
2484,Tenchi Muyo! GXP,TV,26,false,Spring,2002-01-01 00:00:00,2002-01-01 00:00:00
2485,Lupin III Special 2: Hemingway Papers,TV Special,1,false,,1990-01-01 00:00:00,1990-01-01 00:00:00
2486,Natsu no Arashi! Akinaichuu,TV,13,false,Fall,2009-01-01 00:00:00,2009-01-01 00:00:00
2487,Cardcaptor Sakura Specials,DVD Special,3,false,,1998-01-01 00:00:00,2000-01-01 00:00:00
2488,Servamp Movie: Alice in the Garden,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2489,Endless Night,Web,1,false,,2015-01-01 00:00:00,2015-01-01 00:00:00
2490,Death March to the Parallel World Rhapsody,TV,12,false,Winter,2018-01-01 00:00:00,2018-01-01 00:00:00
2491,Pretty Rhythm: Rainbow Live,TV,51,false,Spring,2013-01-01 00:00:00,2014-01-01 00:00:00
2492,Eve: Dramaturgy,Music Video,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2493,Campione!,TV,13,false,Summer,2012-01-01 00:00:00,2012-01-01 00:00:00
2494,You're Under Arrest: Full Throttle Special,DVD Special,1,false,,2008-01-01 00:00:00,2008-01-01 00:00:00
2495,Alice & Zouroku,TV,12,false,Spring,2017-01-01 00:00:00,2017-01-01 00:00:00
2496,Kodomo no Jikan: Kodomo no Natsu Jikan,OVA,1,false,,2011-01-01 00:00:00,2011-01-01 00:00:00
2497,Rozen Maiden ZurÃ¼ckspulen,TV,13,false,Summer,2013-01-01 00:00:00,2013-01-01 00:00:00
2498,Humanity Has Declined Specials,DVD Special,6,false,,2012-01-01 00:00:00,2013-01-01 00:00:00
2499,Phi Brain: Kami no Puzzle 3,TV,25,false,Fall,2013-01-01 00:00:00,2014-01-01 00:00:00
2500,Tenchi Movie 3: Tenchi Forever,Movie,1,false,,1999-01-01 00:00:00,1999-01-01 00:00:00
2501,Black Jack: The Lost Episodes,TV Special,2,false,,2006-01-01 00:00:00,2006-01-01 00:00:00
2502,Kuroko's Basketball: Oshaberi Demo Shimasen ka,OVA,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2503,Hikaru no Go: Special Edition - Match of Justice! The Ancient Flower Blooms!,Other,1,false,,2002-01-01 00:00:00,2002-01-01 00:00:00
2504,Mobile Fighter G Gundam,TV,49,false,,1994-01-01 00:00:00,1995-01-01 00:00:00
2505,Code Geass: Lelouch of the Rebellion Recaps,TV Special,2,false,,2006-01-01 00:00:00,2007-01-01 00:00:00
2506,Seton Academy: Join the Pack!,TV,12,false,Winter,2020-01-01 00:00:00,2020-01-01 00:00:00
2507,Ginban Kaleidoscope,TV,12,false,Fall,2005-01-01 00:00:00,2005-01-01 00:00:00
2508,"Shounen Maid: Women Should Be Brave, and Men Should Be Winsome?",DVD Special,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
2509,Uta no Prince-sama: Maji Love 1000%,TV,13,false,Summer,2011-01-01 00:00:00,2011-01-01 00:00:00
2510,Cencoroll 2,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
2511,Love Hina Spring Special: I Wish Your Dream,TV Special,1,false,,2001-01-01 00:00:00,2001-01-01 00:00:00
2512,"Detective Conan: Happy New Year, Kogorou Mouri",TV Special,1,false,,2015-01-01 00:00:00,2015-01-01 00:00:00
2513,Scryed,TV,26,false,Summer,2001-01-01 00:00:00,2001-01-01 00:00:00
2514,Days OVA,"",2,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2515,Sailor Moon Super S: The Movie,Movie,1,false,,1995-01-01 00:00:00,1995-01-01 00:00:00
2516,Elemental Gelade,TV,26,false,Spring,2005-01-01 00:00:00,2005-01-01 00:00:00
2517,Ojamajo Doremi DOKKAAN!,TV,51,false,Winter,2002-01-01 00:00:00,2003-01-01 00:00:00
2518,Aesthetica of a Rogue Hero,TV,12,false,Summer,2012-01-01 00:00:00,2012-01-01 00:00:00
2519,Valvrave the Liberator,TV,12,false,Spring,2013-01-01 00:00:00,2013-01-01 00:00:00
2520,Sailor Moon Super S,TV,39,false,,1995-01-01 00:00:00,1996-01-01 00:00:00
2521,Steins;Gate: Soumei Eichi no Cognitive Computing,Web,4,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2522,Earl and Fairy,TV,12,false,Fall,2008-01-01 00:00:00,2008-01-01 00:00:00
2523,Suzuka,TV,26,false,Summer,2005-01-01 00:00:00,2005-01-01 00:00:00
2524,Tekkaman Blade,TV,49,false,,1992-01-01 00:00:00,1993-01-01 00:00:00
2525,"Ginmaku Hetalia: Axis Powers - Paint it, White (Shiroku Nure!)",Movie,1,false,,2010-01-01 00:00:00,2010-01-01 00:00:00
2526,Crayon Shin-chan Movie 9: The Adult Empire Strikes Back,Movie,1,false,,2001-01-01 00:00:00,2001-01-01 00:00:00
2527,La Corda D'Oro ~Primo Passo~ A Summer Encore,DVD Special,1,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2528,Afro Samurai Resurrection,Movie,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
2529,"Love, Chunibyo, & Other Delusions: Rikka Takanashi Version",Movie,1,false,,2013-01-01 00:00:00,2013-01-01 00:00:00
2530,Huckleberry no Bouken Movie,Movie,1,false,,1991-01-01 00:00:00,1991-01-01 00:00:00
2531,Croisee in a Foreign Labyrinth: Concert,Web,1,false,Summer,2011-01-01 00:00:00,2011-01-01 00:00:00
2532,Chain Chronicle: The Light of Haecceitas - Movie 1,Movie,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
2533,Queen Emeraldas,OVA,4,false,,1998-01-01 00:00:00,1999-01-01 00:00:00
2534,"Hora, Mimi ga Mieteru yo!",TV,12,false,Fall,2018-01-01 00:00:00,2018-01-01 00:00:00
2535,Dragon Quest Movie: Your Story,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
2536,Air Movie,Movie,1,false,,2005-01-01 00:00:00,2005-01-01 00:00:00
2537,Carnival Phantasm: HibiChika Special,DVD Special,1,false,,2012-01-01 00:00:00,2012-01-01 00:00:00
2538,Yuuki Yuuna is a Hero,TV,12,false,Fall,2014-01-01 00:00:00,2014-01-01 00:00:00
2539,Ling Yu 3rd season,Web,12,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
2540,Mahoromatic,TV,12,false,Fall,2001-01-01 00:00:00,2001-01-01 00:00:00
2541,Encouragement of Climb 2,TV,24,false,Summer,2014-01-01 00:00:00,2014-01-01 00:00:00
2542,Natsuyuki Rendezvous,TV,11,false,Summer,2012-01-01 00:00:00,2012-01-01 00:00:00
2543,Invaders of the Rokujyouma!?,TV,12,false,Summer,2014-01-01 00:00:00,2014-01-01 00:00:00
2544,Guyver: The Bioboosted Armor (2005),TV,26,false,Summer,2005-01-01 00:00:00,2006-01-01 00:00:00
2545,Sketchbook ~full color's~,TV,13,false,Fall,2007-01-01 00:00:00,2007-01-01 00:00:00
2546,Blood Blockade Battlefront & Beyond OVA,OVA,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2547,Potemayo Specials,DVD Special,6,false,,2007-01-01 00:00:00,2008-01-01 00:00:00
2548,Detective Conan Movie 10: Promo Special,Other,1,false,,2006-01-01 00:00:00,2006-01-01 00:00:00
2549,Tenchi The Movie 2: The Daughter Of Darkness,Movie,1,false,,1997-01-01 00:00:00,1997-01-01 00:00:00
2550,Angolmois: Record of Mongol Invasion,TV,12,false,Summer,2018-01-01 00:00:00,2018-01-01 00:00:00
2551,Mobile Suit Zeta Gundam: A New Translation III -Love is the Pulse of the Stars-,Movie,1,false,,2006-01-01 00:00:00,2006-01-01 00:00:00
2552,Patlabor: The Mobile Police,OVA,7,false,,1988-01-01 00:00:00,1989-01-01 00:00:00
2553,Cyber Formula ZERO,OVA,8,false,,1994-01-01 00:00:00,1995-01-01 00:00:00
2554,.hack//G.U. Trilogy,Movie,1,false,,2008-01-01 00:00:00,2008-01-01 00:00:00
2555,Letters from Hibakusha,TV Special,10,true,,2017-01-01 00:00:00,
2556,Rockman.EXE: Hikari to Yami no Program,Movie,1,false,,2005-01-01 00:00:00,2005-01-01 00:00:00
2557,Dual! Parallel Trouble Adventures,TV,13,false,Spring,1999-01-01 00:00:00,1999-01-01 00:00:00
2558,Lupin III Special 8: The Secret Of The Twilight Gemini,TV Special,1,false,,1996-01-01 00:00:00,1996-01-01 00:00:00
2559,The Betrayal Knows My Name,TV,24,false,Spring,2010-01-01 00:00:00,2010-01-01 00:00:00
2560,"Wake Up, Girls! Movie 2: Beyond the Bottom",Movie,1,false,,2015-01-01 00:00:00,2015-01-01 00:00:00
2561,Gatchaman Crowds Insight,TV,12,false,Summer,2015-01-01 00:00:00,2015-01-01 00:00:00
2562,CLAMP in Wonderland 2,Music Video,1,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2563,Amagi Brilliant Park: No Time to Take It Easy!,DVD Special,1,false,,2015-01-01 00:00:00,2015-01-01 00:00:00
2564,sola,TV,13,false,Spring,2007-01-01 00:00:00,2007-01-01 00:00:00
2565,Sailor Moon Super S Memorial,OVA,1,false,,1999-01-01 00:00:00,1999-01-01 00:00:00
2566,Kamichu!,TV,12,false,Summer,2005-01-01 00:00:00,2005-01-01 00:00:00
2567,Kyou no Go no Ni,OVA,4,false,,2006-01-01 00:00:00,2006-01-01 00:00:00
2568,Ristorante Paradiso,TV,11,false,Spring,2009-01-01 00:00:00,2009-01-01 00:00:00
2569,Inazuma Eleven GO: Chrono Stone,TV,51,false,Spring,2012-01-01 00:00:00,2013-01-01 00:00:00
2570,Bump of Chicken: Bouen no March,Music Video,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2571,Future Card Buddyfight: All-Star Fight,TV,8,false,Spring,2018-01-01 00:00:00,2018-01-01 00:00:00
2572,Takarajima,TV,26,false,,1978-01-01 00:00:00,1979-01-01 00:00:00
2573,Hunter x Hunter: Jump Super Anime Tour 1998,Other,1,false,,1998-01-01 00:00:00,1998-01-01 00:00:00
2574,Yuki,Movie,1,false,,1981-01-01 00:00:00,1981-01-01 00:00:00
2575,Aikatsu! 2,TV,51,false,Fall,2013-01-01 00:00:00,2014-01-01 00:00:00
2576,Hua Jiang Hu: Zhi Bei Mo Ting,Web,40,false,,2016-01-01 00:00:00,2017-01-01 00:00:00
2577,One Piece Film: Gold ~Episode 0~ 711 ver.,Other,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
2578,Bakemonogatari Recap,TV Special,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
2579,Marmalade Boy Movie,Movie,1,false,,1995-01-01 00:00:00,1995-01-01 00:00:00
2580,Cardfight!! Vanguard: Link Joker,TV,59,false,Winter,2013-01-01 00:00:00,2014-01-01 00:00:00
2581,Osomatsu-san: Mutsugo to Ouma no Monogatari,Web,6,false,Fall,2016-01-01 00:00:00,2016-01-01 00:00:00
2582,Giga-P: Rettou Joutou,Music Video,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2583,Tengen Toppa Gurren Lagann OVA,OVA,1,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2584,Baby I Love You Daze,Web,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
2585,Bleach: Memories in the Rain,OVA,1,false,,2004-01-01 00:00:00,2004-01-01 00:00:00
2586,Dog Days',TV,13,false,Summer,2012-01-01 00:00:00,2012-01-01 00:00:00
2587,Witch Craft Works,TV,12,false,Winter,2014-01-01 00:00:00,2014-01-01 00:00:00
2588,Elegant Youkai Apartment Life,TV,26,false,Summer,2017-01-01 00:00:00,2017-01-01 00:00:00
2589,Altair: A Record of Battles,TV,24,false,Summer,2017-01-01 00:00:00,2017-01-01 00:00:00
2590,The Asterisk War,TV,12,false,Fall,2015-01-01 00:00:00,2015-01-01 00:00:00
2591,Air,TV,13,false,Winter,2005-01-01 00:00:00,2005-01-01 00:00:00
2592,Space Battleship Yamato: Resurrection,Movie,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
2593,"Listen to Me Girls, I'm Your Father! OVA",OVA,2,false,,2013-01-01 00:00:00,2015-01-01 00:00:00
2594,Stratos 4 Advance: Kanketsu-hen,OVA,2,false,,2006-01-01 00:00:00,2006-01-01 00:00:00
2595,Lupin III Special 11: The Columbus Files,TV Special,1,false,,1999-01-01 00:00:00,1999-01-01 00:00:00
2596,Pop Team Epic (2019),"",2,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
2597,Mobile Suit Zeta Gundam: A New Translation -Heirs to the Stars-,Movie,1,false,,2005-01-01 00:00:00,2005-01-01 00:00:00
2598,Vandread Integral,OVA,1,false,,2001-01-01 00:00:00,2001-01-01 00:00:00
2599,X TV,TV,24,false,Fall,2001-01-01 00:00:00,2002-01-01 00:00:00
2600,Saekano: How to Raise a Boring Girlfriend Flat: Fan Service of Love and Pure Heart,TV Special,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
2601,Kimi no Hikari: Asagao to Kase-san.,Web,1,false,Spring,2017-01-01 00:00:00,2017-01-01 00:00:00
2602,"Wake Up, Girls! Movie 1: The Shadow of Youth",Movie,1,false,,2015-01-01 00:00:00,2015-01-01 00:00:00
2603,Appleseed Movie,Movie,1,false,,2004-01-01 00:00:00,2004-01-01 00:00:00
2604,Bodacious Space Pirates Movie: Abyss of Hyperspace,Movie,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2605,Onihei,TV,13,false,Winter,2017-01-01 00:00:00,2017-01-01 00:00:00
2606,Yowamushi Pedal: Re:RIDE,Movie,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
2607,Lupin III Special 3: Napoleon's Dictionary,TV Special,1,false,,1991-01-01 00:00:00,1991-01-01 00:00:00
2608,The iDOLM@STER: Cinderella Girls Second Series,TV,12,false,Summer,2015-01-01 00:00:00,2015-01-01 00:00:00
2609,Hiiro no Kakera: The Tamayori Princess Saga 2,TV,13,false,Fall,2012-01-01 00:00:00,2012-01-01 00:00:00
2610,Jewelpet Twinkle,TV,52,false,Spring,2010-01-01 00:00:00,2011-01-01 00:00:00
2611,Final Fantasy VII: Advent Children - Venice Film Festival Footage,Movie,1,false,,2005-01-01 00:00:00,2005-01-01 00:00:00
2612,Tales of Symphonia,OVA,4,false,,2007-01-01 00:00:00,2007-01-01 00:00:00
2613,PriPara 2,TV,51,false,Spring,2015-01-01 00:00:00,2016-01-01 00:00:00
2614,Tenchi Muyo! Ryo-Ohki 4,OVA,4,false,,2016-01-01 00:00:00,2017-01-01 00:00:00
