Index,Anime Index,Status,Viewers,Rating
2672,673,Watching,68,4.222
2673,673,To-Watch,3480,4.222
2674,673,Dropped,53,4.222
2675,674,Watched,2670,4.222
2676,674,Watching,1006,4.222
2677,674,To-Watch,2031,4.222
2678,674,Dropped,175,4.222
2679,675,Watched,8212,4.222
2680,675,Watching,151,4.222
2681,675,To-Watch,2233,4.222
2682,675,Dropped,101,4.222
2683,676,Watched,7747,4.221
2684,676,Watching,72,4.221
2685,676,To-Watch,1360,4.221
2686,676,Dropped,18,4.221
2687,677,Watched,2307,4.221
2688,677,Watching,56,4.221
2689,677,To-Watch,902,4.221
2690,677,Dropped,49,4.221
2691,678,Watched,1172,4.223
2692,678,Watching,75,4.223
2693,678,To-Watch,509,4.223
2694,678,Dropped,3,4.223
2695,679,Watching,3133,4.223
2696,679,To-Watch,2990,4.223
2697,679,Dropped,89,4.223
2698,680,Watched,19142,4.22
2699,680,Watching,923,4.22
2700,680,To-Watch,6148,4.22
2701,680,Dropped,752,4.22
2702,681,Watched,54935,4.22
2703,681,Watching,121,4.22
2704,681,To-Watch,3186,4.22
2705,681,Dropped,112,4.22
2706,682,Watched,281,4.221
2707,682,Watching,156,4.221
2708,682,To-Watch,689,4.221
2709,682,Dropped,18,4.221
2710,683,Watched,35135,4.22
2711,683,Watching,174,4.22
2712,683,To-Watch,5517,4.22
2713,683,Dropped,70,4.22
2714,684,Watched,1908,4.219
2715,684,Watching,84,4.219
2716,684,To-Watch,2743,4.219
2717,684,Dropped,10,4.219
2718,685,Watched,35282,4.219
2719,685,Watching,9784,4.219
2720,685,To-Watch,18582,4.219
2721,685,Dropped,5201,4.219
2722,686,Watched,7066,4.219
2723,686,Watching,42,4.219
2724,686,To-Watch,1347,4.219
2725,686,Dropped,20,4.219
2726,687,Watched,18588,4.217
2727,687,Watching,2525,4.217
2728,687,To-Watch,10287,4.217
2729,687,Dropped,1373,4.217
2730,688,Watched,14454,4.218
2731,688,Watching,1382,4.218
2732,688,To-Watch,9306,4.218
2733,688,Dropped,237,4.218
2734,689,Watched,21864,4.218
2735,689,Watching,1699,4.218
2736,689,To-Watch,4940,4.218
2737,689,Dropped,919,4.218
2738,690,Watched,23245,4.217
2739,690,Watching,81,4.217
2740,690,To-Watch,4393,4.217
2741,690,Dropped,65,4.217
2742,691,Watched,321,4.191
2743,691,Watching,51,4.191
2744,691,To-Watch,232,4.191
2745,691,Dropped,7,4.191
2746,692,Watched,2462,4.216
2747,692,Watching,327,4.216
2748,692,To-Watch,3208,4.216
2749,692,Dropped,252,4.216
2750,693,Watched,4956,4.216
2751,693,Watching,135,4.216
2752,693,To-Watch,1499,4.216
2753,693,Dropped,61,4.216
2754,694,Watched,1471,4.217
2755,694,Watching,31,4.217
2756,694,To-Watch,1727,4.217
2757,694,Dropped,20,4.217
2758,695,Watched,18224,4.215
2759,695,Watching,1227,4.215
2760,695,To-Watch,10447,4.215
2761,695,Dropped,1008,4.215
2762,696,Watched,15181,4.215
2763,696,Watching,69,4.215
2764,696,To-Watch,3199,4.215
2765,696,Dropped,43,4.215
2766,697,Watched,3831,4.215
2767,697,Watching,28,4.215
2768,697,To-Watch,1517,4.215
2769,697,Dropped,15,4.215
2770,698,Watched,20472,4.215
2771,698,Watching,1089,4.215
2772,698,To-Watch,4946,4.215
2773,698,Dropped,350,4.215
2774,699,Watched,13359,4.214
2775,699,Watching,1473,4.214
2776,699,To-Watch,5385,4.214
2777,699,Dropped,533,4.214
2778,700,Watched,2386,4.214
2779,700,Watching,36,4.214
2780,700,To-Watch,1716,4.214
2781,700,Dropped,36,4.214
2782,701,Watched,5118,4.214
2783,701,Watching,650,4.214
2784,701,To-Watch,2641,4.214
2785,701,Dropped,177,4.214
2786,702,Watched,2087,4.213
2787,702,Watching,29,4.213
2788,702,To-Watch,739,4.213
2789,702,Dropped,18,4.213
2790,703,Watched,1197,4.214
2791,703,Watching,49,4.214
2792,703,To-Watch,1585,4.214
2793,703,Dropped,12,4.214
2794,704,Watched,5594,4.213
2795,704,Watching,474,4.213
2796,704,To-Watch,2777,4.213
2797,704,Dropped,152,4.213
2798,705,Watched,728,4.213
2799,705,Watching,41,4.213
2800,705,To-Watch,1449,4.213
2801,705,Dropped,16,4.213
2802,706,Watched,13724,4.212
2803,706,Watching,253,4.212
2804,706,To-Watch,4284,4.212
2805,706,Dropped,106,4.212
2806,707,Watched,3832,4.212
2807,707,Watching,669,4.212
2808,707,To-Watch,3422,4.212
2809,707,Dropped,288,4.212
2810,708,Watched,1251,4.206
2811,708,Watching,114,4.206
2812,708,To-Watch,2973,4.206
2813,708,Dropped,7,4.206
2814,709,Watched,6217,4.211
2815,709,Watching,898,4.211
2816,709,To-Watch,7165,4.211
2817,709,Dropped,717,4.211
2818,710,Watched,3997,4.211
2819,710,Watching,68,4.211
2820,710,To-Watch,2613,4.211
2821,710,Dropped,34,4.211
2822,711,Watched,5586,4.211
2823,711,Watching,816,4.211
2824,711,To-Watch,4453,4.211
2825,711,Dropped,440,4.211
2826,712,Watched,19274,4.21
2827,712,Watching,126,4.21
2828,712,To-Watch,5047,4.21
2829,712,Dropped,43,4.21
2830,713,Watched,1050,4.209
2831,713,Watching,39,4.209
2832,713,To-Watch,745,4.209
2833,713,Dropped,9,4.209
2834,714,Watched,1069,4.209
2835,714,Watching,32,4.209
2836,714,To-Watch,1368,4.209
2837,714,Dropped,20,4.209
2838,715,Watched,22799,4.209
2839,715,Watching,3803,4.209
2840,715,To-Watch,10235,4.209
2841,715,Dropped,1406,4.209
2842,716,Watched,11527,4.207
2843,716,Watching,2160,4.207
2844,716,To-Watch,8648,4.207
2845,716,Dropped,1018,4.207
2846,717,Watched,6012,4.207
2847,717,Watching,65,4.207
2848,717,To-Watch,2002,4.207
2849,717,Dropped,20,4.207
2850,718,Watched,4881,4.208
2851,718,Watching,21,4.208
2852,718,To-Watch,1448,4.208
2853,718,Dropped,23,4.208
2854,719,Watched,580,4.209
2855,719,Watching,33,4.209
2856,719,To-Watch,764,4.209
2857,719,Dropped,11,4.209
2858,720,Watched,1129,4.211
2859,720,Watching,47,4.211
2860,720,To-Watch,676,4.211
2861,720,Dropped,5,4.211
2862,721,Watched,16913,4.206
2863,721,Watching,143,4.206
2864,721,To-Watch,3975,4.206
2865,721,Dropped,80,4.206
2866,722,Watched,4093,4.206
2867,722,Watching,2457,4.206
2868,722,To-Watch,2495,4.206
2869,722,Dropped,205,4.206
2870,723,Watched,49496,4.206
2871,723,Watching,2473,4.206
2872,723,To-Watch,12308,4.206
2873,723,Dropped,2075,4.206
2874,724,Watched,6093,4.205
2875,724,Watching,348,4.205
2876,724,To-Watch,1619,4.205
2877,724,Dropped,74,4.205
2878,725,Watched,3051,4.205
2879,725,Watching,70,4.205
2880,725,To-Watch,2948,4.205
2881,725,Dropped,17,4.205
2882,726,Watched,82344,4.205
2883,726,Watching,3420,4.205
2884,726,To-Watch,5890,4.205
2885,726,Dropped,3286,4.205
2886,727,Watched,3065,4.204
2887,727,Watching,380,4.204
2888,727,To-Watch,3172,4.204
2889,727,Dropped,369,4.204
2890,728,Watched,2489,4.203
2891,728,Watching,101,4.203
2892,728,To-Watch,1957,4.203
2893,728,Dropped,66,4.203
2894,729,Watched,5731,4.204
2895,729,Watching,579,4.204
2896,729,To-Watch,3164,4.204
2897,729,Dropped,349,4.204
2898,730,Watched,20753,4.203
2899,730,Watching,155,4.203
2900,730,To-Watch,5354,4.203
2901,730,Dropped,92,4.203
2902,731,Watched,9256,4.203
2903,731,Watching,1366,4.203
2904,731,To-Watch,6220,4.203
2905,731,Dropped,1063,4.203
2906,732,Watched,1946,4.205
2907,732,Watching,50,4.205
2908,732,To-Watch,2189,4.205
2909,732,Dropped,28,4.205
2910,733,Watched,2194,4.202
2911,733,Watching,21,4.202
2912,733,To-Watch,958,4.202
2913,733,Dropped,11,4.202
2914,734,Watched,4121,4.202
2915,734,Watching,95,4.202
2916,734,To-Watch,3257,4.202
2917,734,Dropped,14,4.202
2918,735,Watched,3748,4.202
2919,735,Watching,336,4.202
2920,735,To-Watch,2587,4.202
2921,735,Dropped,111,4.202
2922,736,Watched,5911,4.201
2923,736,Watching,101,4.201
2924,736,To-Watch,2273,4.201
2925,736,Dropped,26,4.201
2926,737,Watched,8772,4.201
2927,737,Watching,160,4.201
2928,737,To-Watch,2104,4.201
2929,737,Dropped,36,4.201
2930,738,Watched,441,4.197
2931,738,Watching,20,4.197
2932,738,To-Watch,653,4.197
2933,738,Dropped,6,4.197
2934,739,Watched,1379,4.201
2935,739,Watching,34,4.201
2936,739,To-Watch,1166,4.201
2937,739,Dropped,17,4.201
2938,740,Watched,7497,4.202
2939,740,Watching,341,4.202
2940,740,To-Watch,7326,4.202
2941,740,Dropped,29,4.202
2942,741,Watched,2972,4.2
2943,741,Watching,57,4.2
2944,741,To-Watch,1712,4.2
2945,741,Dropped,18,4.2
2946,742,Watched,757,4.199
2947,742,Watching,58,4.199
2948,742,To-Watch,2594,4.199
2949,742,Dropped,19,4.199
2950,743,Watched,252,4.199
2951,743,Watching,22,4.199
2952,743,To-Watch,403,4.199
2953,743,Dropped,18,4.199
2954,744,Watched,2482,4.198
2955,744,Watching,59,4.198
2956,744,To-Watch,1233,4.198
2957,744,Dropped,24,4.198
2958,745,Watched,5998,4.199
2959,745,Watching,461,4.199
2960,745,To-Watch,2678,4.199
2961,745,Dropped,132,4.199
2962,746,Watched,680,4.199
2963,746,Watching,128,4.199
2964,746,To-Watch,291,4.199
2965,746,Dropped,14,4.199
2966,747,Watched,59970,4.198
2967,747,Watching,6848,4.198
2968,747,To-Watch,16766,4.198
2969,747,Dropped,4174,4.198
2970,748,Watched,2076,4.198
2971,748,Watching,59,4.198
2972,748,To-Watch,905,4.198
2973,748,Dropped,86,4.198
2974,749,Watched,1070,4.198
2975,749,Watching,287,4.198
2976,749,To-Watch,1022,4.198
2977,749,Dropped,18,4.198
2978,750,Watched,13019,4.197
2979,750,Watching,2102,4.197
2980,750,To-Watch,9982,4.197
2981,750,Dropped,1574,4.197
2982,751,Watched,981,4.196
2983,751,Watching,13,4.196
2984,751,To-Watch,563,4.196
2985,751,Dropped,8,4.196
2986,752,Watched,6184,4.196
2987,752,Watching,1088,4.196
2988,752,To-Watch,4883,4.196
2989,752,Dropped,324,4.196
2990,753,Watched,1545,4.197
2991,753,Watching,100,4.197
2992,753,To-Watch,763,4.197
2993,753,Dropped,10,4.197
2994,754,Watched,4011,4.196
2995,754,Watching,66,4.196
2996,754,To-Watch,1735,4.196
2997,754,Dropped,11,4.196
2998,755,Watched,1803,4.195
2999,755,Watching,72,4.195
3000,755,To-Watch,898,4.195
3001,755,Dropped,23,4.195
3002,756,Watched,516,4.193
3003,756,Watching,35,4.193
3004,756,To-Watch,808,4.193
3005,756,Dropped,73,4.193
3006,757,Watched,33657,4.194
3007,757,Watching,2631,4.194
3008,757,To-Watch,12974,4.194
3009,757,Dropped,2776,4.194
3010,758,Watched,17965,4.194
3011,758,Watching,98,4.194
3012,758,To-Watch,4410,4.194
3013,758,Dropped,88,4.194
3014,759,Watched,13006,4.194
3015,759,Watching,53,4.194
3016,759,To-Watch,1994,4.194
3017,759,Dropped,51,4.194
3018,760,Watched,2058,4.193
3019,760,Watching,34,4.193
3020,760,To-Watch,1483,4.193
3021,760,Dropped,18,4.193
3022,761,Watched,7081,4.193
3023,761,Watching,89,4.193
3024,761,To-Watch,2542,4.193
3025,761,Dropped,31,4.193
3026,762,Watched,2766,4.194
3027,762,Watching,22,4.194
3028,762,To-Watch,993,4.194
3029,762,Dropped,12,4.194
3030,763,Watched,23909,4.193
3031,763,Watching,1590,4.193
3032,763,To-Watch,8019,4.193
3033,763,Dropped,684,4.193
3034,764,Watched,314,4.171
3035,764,Watching,86,4.171
3036,764,To-Watch,325,4.171
3037,764,Dropped,14,4.171
3038,765,Watched,14710,4.192
3039,765,Watching,1337,4.192
3040,765,To-Watch,5864,4.192
3041,765,Dropped,313,4.192
3042,766,Watched,16175,4.192
3043,766,Watching,987,4.192
3044,766,To-Watch,9923,4.192
3045,766,Dropped,925,4.192
3046,767,Watched,8452,4.192
3047,767,Watching,920,4.192
3048,767,To-Watch,5070,4.192
3049,767,Dropped,457,4.192
3050,768,Watching,94,3.795
3051,768,To-Watch,431,3.795
3052,768,Dropped,2,3.795
3053,769,Watched,856,4.194
3054,769,Watching,119,4.194
3055,769,To-Watch,1091,4.194
3056,769,Dropped,63,4.194
3057,770,Watched,5675,4.191
3058,770,Watching,91,4.191
3059,770,To-Watch,3245,4.191
3060,770,Dropped,40,4.191
3061,771,Watched,1302,4.195
3062,771,Watching,863,4.195
3063,771,To-Watch,1590,4.195
3064,771,Dropped,55,4.195
3065,772,Watched,33826,4.19
3066,772,Watching,2086,4.19
3067,772,To-Watch,10681,4.19
3068,772,Dropped,1326,4.19
3069,773,Watching,3859,4.188
3070,773,To-Watch,3225,4.188
3071,773,Dropped,70,4.188
3072,774,Watched,3143,4.19
3073,774,Watching,50,4.19
3074,774,To-Watch,1402,4.19
3075,774,Dropped,16,4.19
3076,775,Watched,5361,4.189
3077,775,Watching,207,4.189
3078,775,To-Watch,1520,4.189
3079,775,Dropped,38,4.189
3080,776,Watched,494,4.192
3081,776,Watching,103,4.192
3082,776,To-Watch,381,4.192
3083,776,Dropped,10,4.192
3084,777,Watched,22764,4.189
3085,777,Watching,2114,4.189
3086,777,To-Watch,7221,4.189
3087,777,Dropped,570,4.189
3088,778,Watched,13961,4.188
3089,778,Watching,1167,4.188
3090,778,To-Watch,6197,4.188
3091,778,Dropped,885,4.188
3092,779,Watched,9474,4.188
3093,779,Watching,452,4.188
3094,779,To-Watch,3261,4.188
3095,779,Dropped,216,4.188
3096,780,Watched,2609,4.187
3097,780,Watching,56,4.187
3098,780,To-Watch,1682,4.187
3099,780,Dropped,20,4.187
3100,781,Watched,3079,4.188
3101,781,Watching,39,4.188
3102,781,To-Watch,1193,4.188
3103,781,Dropped,14,4.188
3104,782,Watched,7151,4.188
3105,782,Watching,866,4.188
3106,782,To-Watch,5086,4.188
3107,782,Dropped,438,4.188
3108,783,Watched,9985,4.187
3109,783,Watching,691,4.187
3110,783,To-Watch,7451,4.187
3111,783,Dropped,565,4.187
3112,784,Watched,24532,4.187
3113,784,Watching,2573,4.187
3114,784,To-Watch,10304,4.187
3115,784,Dropped,1009,4.187
3116,785,Watched,22102,4.186
3117,785,Watching,1866,4.186
3118,785,To-Watch,11434,4.186
3119,785,Dropped,1126,4.186
3120,786,Watched,16139,4.186
3121,786,Watching,1929,4.186
3122,786,To-Watch,4619,4.186
3123,786,Dropped,597,4.186
3124,787,Watched,61791,4.185
3125,787,Watching,5415,4.185
3126,787,To-Watch,14883,4.185
3127,787,Dropped,2926,4.185
3128,788,Watched,1080,4.187
3129,788,Watching,267,4.187
3130,788,To-Watch,1464,4.187
3131,788,Dropped,114,4.187
3132,789,Watched,3068,4.185
3133,789,Watching,23,4.185
3134,789,To-Watch,1065,4.185
3135,789,Dropped,14,4.185
3136,790,Watched,11295,4.185
3137,790,Watching,940,4.185
3138,790,To-Watch,4528,4.185
3139,790,Dropped,1360,4.185
3140,791,Watched,586,4.184
3141,791,Watching,48,4.184
3142,791,To-Watch,802,4.184
3143,791,Dropped,11,4.184
3144,792,Watched,51709,4.184
3145,792,Watching,3414,4.184
3146,792,To-Watch,20215,4.184
3147,792,Dropped,3248,4.184
3148,793,Watched,117831,4.184
3149,793,Watching,7144,4.184
3150,793,To-Watch,9986,4.184
3151,793,Dropped,4623,4.184
3152,794,Watched,12514,4.184
3153,794,Watching,1973,4.184
3154,794,To-Watch,3744,4.184
3155,794,Dropped,102,4.184
3156,795,Watched,816,4.178
3157,795,Watching,26,4.178
3158,795,To-Watch,284,4.178
3159,795,Dropped,6,4.178
3160,796,Watched,549,4.183
3161,796,Watching,27,4.183
3162,796,To-Watch,738,4.183
3163,796,Dropped,17,4.183
3164,797,Watched,8393,4.183
3165,797,Watching,118,4.183
3166,797,To-Watch,3070,4.183
3167,797,Dropped,29,4.183
3168,798,Watched,2695,4.186
3169,798,Watching,1492,4.186
3170,798,To-Watch,2968,4.186
3171,798,Dropped,309,4.186
3172,799,Watched,16175,4.183
3173,799,Watching,115,4.183
3174,799,To-Watch,4340,4.183
3175,799,Dropped,57,4.183
3176,800,Watched,910,4.185
3177,800,Watching,28,4.185
3178,800,To-Watch,732,4.185
3179,800,Dropped,9,4.185
3180,801,Watched,1111,4.182
3181,801,Watching,41,4.182
3182,801,To-Watch,1332,4.182
3183,801,Dropped,11,4.182
3184,802,Watched,16627,4.182
3185,802,Watching,195,4.182
3186,802,To-Watch,9113,4.182
3187,802,Dropped,61,4.182
3188,803,Watched,21648,4.182
3189,803,Watching,434,4.182
3190,803,To-Watch,4598,4.182
3191,803,Dropped,643,4.182
3192,804,Watched,4945,4.181
3193,804,Watching,479,4.181
3194,804,To-Watch,4151,4.181
3195,804,Dropped,245,4.181
3196,805,Watched,13936,4.18
3197,805,Watching,859,4.18
3198,805,To-Watch,9509,4.18
3199,805,Dropped,880,4.18
3200,806,Watched,1372,4.181
3201,806,Watching,31,4.181
3202,806,To-Watch,1899,4.181
3203,806,Dropped,10,4.181
3204,807,Watched,1526,4.181
3205,807,Watching,31,4.181
3206,807,To-Watch,951,4.181
3207,807,Dropped,11,4.181
3208,808,Watched,219,4.18
3209,808,Watching,14,4.18
3210,808,To-Watch,456,4.18
3211,808,Dropped,2,4.18
3212,809,Watched,5476,4.18
3213,809,Watching,79,4.18
3214,809,To-Watch,1716,4.18
3215,809,Dropped,39,4.18
3216,810,Watched,8917,4.181
3217,810,Watching,1251,4.181
3218,810,To-Watch,6513,4.181
3219,810,Dropped,842,4.181
3220,811,Watched,44,4.179
3221,811,Watching,25,4.179
3222,811,To-Watch,74,4.179
3223,811,Dropped,5,4.179
3224,812,Watched,1233,4.175
3225,812,Watching,67,4.175
3226,812,To-Watch,2227,4.175
3227,812,Dropped,14,4.175
3228,813,Watched,6912,4.179
3229,813,Watching,825,4.179
3230,813,To-Watch,5062,4.179
3231,813,Dropped,487,4.179
3232,814,Watched,17865,4.179
3233,814,Watching,1997,4.179
3234,814,To-Watch,7356,4.179
3235,814,Dropped,494,4.179
3236,815,Watched,19263,4.179
3237,815,Watching,146,4.179
3238,815,To-Watch,4580,4.179
3239,815,Dropped,34,4.179
3240,816,Watched,269,4.178
3241,816,Watching,214,4.178
3242,816,To-Watch,832,4.178
3243,816,Dropped,24,4.178
3244,817,Watched,4623,4.178
3245,817,Watching,73,4.178
3246,817,To-Watch,1050,4.178
3247,817,Dropped,31,4.178
3248,818,Watched,3501,4.177
3249,818,Watching,114,4.177
3250,818,To-Watch,3527,4.177
3251,818,Dropped,14,4.177
3252,819,Watched,12737,4.178
3253,819,Watching,113,4.178
3254,819,To-Watch,5446,4.178
3255,819,Dropped,45,4.178
3256,820,Watched,4755,4.177
3257,820,Watching,235,4.177
3258,820,To-Watch,3088,4.177
3259,820,Dropped,101,4.177
3260,821,Watched,5639,4.177
3261,821,Watching,57,4.177
3262,821,To-Watch,3387,4.177
3263,821,Dropped,46,4.177
3264,822,Watched,8468,4.177
3265,822,Watching,876,4.177
3266,822,To-Watch,8371,4.177
3267,822,Dropped,968,4.177
3268,823,Watched,8695,4.176
3269,823,Watching,3146,4.176
3270,823,To-Watch,5446,4.176
3271,823,Dropped,1010,4.176
3272,824,Watched,564,4.172
3273,824,Watching,28,4.172
3274,824,To-Watch,482,4.172
3275,824,Dropped,28,4.172
3276,825,Watched,3908,4.175
3277,825,Watching,115,4.175
3278,825,To-Watch,1854,4.175
3279,825,Dropped,23,4.175
3280,826,Watched,31566,4.176
3281,826,Watching,1946,4.176
3282,826,To-Watch,10089,4.176
3283,826,Dropped,1233,4.176
3284,827,Watched,5494,4.174
3285,827,Watching,28,4.174
3286,827,To-Watch,1590,4.174
3287,827,Dropped,21,4.174
3288,828,Watched,4286,4.174
3289,828,Watching,1073,4.174
3290,828,To-Watch,3009,4.174
3291,828,Dropped,338,4.174
3292,829,Watched,10153,4.174
3293,829,Watching,982,4.174
3294,829,To-Watch,4609,4.174
3295,829,Dropped,495,4.174
3296,830,Watched,3483,4.175
3297,830,Watching,883,4.175
3298,830,To-Watch,3437,4.175
3299,830,Dropped,175,4.175
3300,831,Watched,5506,4.173
3301,831,Watching,38,4.173
3302,831,To-Watch,1459,4.173
3303,831,Dropped,20,4.173
3304,832,Watched,11511,4.174
3305,832,Watching,320,4.174
3306,832,To-Watch,6236,4.174
3307,832,Dropped,121,4.174
3308,833,Watched,3238,4.173
3309,833,Watching,29,4.173
3310,833,To-Watch,1052,4.173
3311,833,Dropped,10,4.173
3312,834,Watched,6462,4.173
3313,834,Watching,333,4.173
3314,834,To-Watch,2603,4.173
3315,834,Dropped,240,4.173
3316,835,Watched,31726,4.173
3317,835,Watching,1906,4.173
3318,835,To-Watch,5501,4.173
3319,835,Dropped,505,4.173
3320,836,Watched,51722,4.173
3321,836,Watching,5343,4.173
3322,836,To-Watch,12317,4.173
3323,836,Dropped,2369,4.173
3324,837,Watched,1706,4.172
3325,837,Watching,74,4.172
3326,837,To-Watch,3066,4.172
3327,837,Dropped,24,4.172
3328,838,Watched,4591,4.172
3329,838,Watching,89,4.172
3330,838,To-Watch,1708,4.172
3331,838,Dropped,92,4.172
3332,839,Watched,8665,4.171
3333,839,Watching,368,4.171
3334,839,To-Watch,3617,4.171
3335,839,Dropped,34,4.171
3336,840,Watched,1318,4.17
3337,840,Watching,16,4.17
3338,840,To-Watch,418,4.17
3339,840,Dropped,23,4.17
3340,841,Watched,4730,4.17
3341,841,Watching,102,4.17
3342,841,To-Watch,1677,4.17
3343,841,Dropped,28,4.17
3344,842,Watched,5944,4.171
3345,842,Watching,109,4.171
3346,842,To-Watch,4782,4.171
3347,842,Dropped,69,4.171
3348,843,Watching,217,4.17
3349,843,To-Watch,497,4.17
3350,843,Dropped,18,4.17
3351,844,Watched,758,4.169
3352,844,Watching,17,4.169
3353,844,To-Watch,574,4.169
3354,844,Dropped,22,4.169
3355,845,Watched,999,4.169
3356,845,Watching,65,4.169
3357,845,To-Watch,915,4.169
3358,845,Dropped,53,4.169
3359,846,Watched,581,4.169
3360,846,Watching,23,4.169
3361,846,To-Watch,607,4.169
3362,846,Dropped,3,4.169
3363,847,Watched,989,4.168
3364,847,Watching,22,4.168
3365,847,To-Watch,1364,4.168
3366,847,Dropped,20,4.168
3367,848,Watched,27063,4.168
3368,848,Watching,1562,4.168
3369,848,To-Watch,7358,4.168
3370,848,Dropped,733,4.168
3371,849,Watched,1867,4.166
3372,849,Watching,105,4.166
3373,849,To-Watch,1483,4.166
3374,849,Dropped,61,4.166
3375,850,Watched,7921,4.167
3376,850,Watching,769,4.167
3377,850,To-Watch,2974,4.167
3378,850,Dropped,295,4.167
3379,851,Watched,287,4.167
3380,851,Watching,110,4.167
3381,851,To-Watch,272,4.167
3382,851,Dropped,8,4.167
3383,852,Watched,3191,4.168
3384,852,Watching,2082,4.168
3385,852,To-Watch,2775,4.168
3386,852,Dropped,369,4.168
3387,853,Watched,9980,4.167
3388,853,Watching,96,4.167
3389,853,To-Watch,2209,4.167
3390,853,Dropped,19,4.167
3391,854,Watched,778,4.165
3392,854,Watching,160,4.165
3393,854,To-Watch,906,4.165
3394,854,Dropped,24,4.165
3395,855,Watched,5134,4.165
3396,855,Watching,724,4.165
3397,855,To-Watch,2090,4.165
3398,855,Dropped,160,4.165
3399,856,Watched,98661,4.165
3400,856,Watching,3577,4.165
3401,856,To-Watch,18425,4.165
3402,856,Dropped,4470,4.165
3403,857,Watched,3693,4.165
3404,857,Watching,36,4.165
3405,857,To-Watch,1654,4.165
3406,857,Dropped,18,4.165
3407,858,Watched,3580,4.165
3408,858,Watching,736,4.165
3409,858,To-Watch,2154,4.165
3410,858,Dropped,418,4.165
3411,859,Watched,3494,4.164
3412,859,Watching,227,4.164
3413,859,To-Watch,2828,4.164
3414,859,Dropped,73,4.164
3415,860,Watched,11018,4.163
3416,860,Watching,2144,4.163
3417,860,To-Watch,6533,4.163
3418,860,Dropped,1045,4.163
3419,861,Watched,21434,4.163
3420,861,Watching,2306,4.163
3421,861,To-Watch,13309,4.163
3422,861,Dropped,2206,4.163
3423,862,Watched,69361,4.163
3424,862,Watching,3883,4.163
3425,862,To-Watch,6057,4.163
3426,862,Dropped,2907,4.163
3427,863,Watched,3634,4.161
3428,863,Watching,154,4.161
3429,863,To-Watch,1860,4.161
3430,863,Dropped,37,4.161
3431,864,Watched,24642,4.162
3432,864,Watching,2821,4.162
3433,864,To-Watch,16416,4.162
3434,864,Dropped,1892,4.162
3435,865,Watched,1164,4.162
3436,865,Watching,14,4.162
3437,865,To-Watch,638,4.162
3438,865,Dropped,17,4.162
3439,866,Watched,26259,4.161
3440,866,Watching,1527,4.161
3441,866,To-Watch,8556,4.161
3442,866,Dropped,853,4.161
3443,867,Watched,47576,4.161
3444,867,Watching,272,4.161
3445,867,To-Watch,9014,4.161
3446,867,Dropped,297,4.161
3447,868,Watched,7092,4.161
3448,868,Watching,504,4.161
3449,868,To-Watch,2422,4.161
3450,868,Dropped,164,4.161
3451,869,Watched,18619,4.16
3452,869,Watching,1142,4.16
3453,869,To-Watch,9529,4.16
3454,869,Dropped,1104,4.16
3455,870,Watched,5389,4.161
3456,870,Watching,2910,4.161
3457,870,To-Watch,4894,4.161
3458,870,Dropped,623,4.161
3459,871,Watched,2706,4.16
3460,871,Watching,155,4.16
3461,871,To-Watch,2561,4.16
3462,871,Dropped,37,4.16
3463,872,Watched,15950,4.16
3464,872,Watching,1390,4.16
3465,872,To-Watch,7908,4.16
3466,872,Dropped,886,4.16
3467,873,Watched,1287,4.156
3468,873,Watching,69,4.156
3469,873,To-Watch,2331,4.156
3470,873,Dropped,9,4.156
3471,874,Watched,2077,4.159
3472,874,Watching,114,4.159
3473,874,To-Watch,1710,4.159
3474,874,Dropped,114,4.159
3475,875,Watched,2737,4.159
3476,875,Watching,65,4.159
3477,875,To-Watch,2328,4.159
3478,875,Dropped,29,4.159
3479,876,Watched,1211,4.159
3480,876,Watching,79,4.159
3481,876,To-Watch,927,4.159
3482,876,Dropped,12,4.159
3483,877,Watched,3809,4.159
3484,877,Watching,715,4.159
3485,877,To-Watch,2825,4.159
3486,877,Dropped,91,4.159
3487,878,Watched,3403,4.158
3488,878,Watching,88,4.158
3489,878,To-Watch,2714,4.158
3490,878,Dropped,30,4.158
3491,879,Watched,51777,4.158
3492,879,Watching,195,4.158
3493,879,To-Watch,6846,4.158
3494,879,Dropped,94,4.158
3495,880,Watched,1843,4.154
3496,880,Watching,463,4.154
3497,880,To-Watch,1297,4.154
3498,880,Dropped,63,4.154
3499,881,Watched,10272,4.158
3500,881,Watching,780,4.158
3501,881,To-Watch,6717,4.158
3502,881,Dropped,452,4.158
3503,882,Watched,229,4.139
3504,882,Watching,126,4.139
3505,882,To-Watch,4949,4.139
3506,882,Dropped,3,4.139
3507,883,Watched,4038,4.158
3508,883,Watching,246,4.158
3509,883,To-Watch,4959,4.158
3510,883,Dropped,24,4.158
3511,884,Watched,18531,4.157
3512,884,Watching,1556,4.157
3513,884,To-Watch,6108,4.157
3514,884,Dropped,732,4.157
3515,885,Watched,2726,4.156
3516,885,Watching,68,4.156
3517,885,To-Watch,2074,4.156
3518,885,Dropped,37,4.156
3519,886,Watched,11615,4.157
3520,886,Watching,1458,4.157
3521,886,To-Watch,5570,4.157
3522,886,Dropped,506,4.157
3523,887,Watched,4129,4.157
3524,887,Watching,106,4.157
3525,887,To-Watch,2013,4.157
3526,887,Dropped,9,4.157
3527,888,Watched,3938,4.157
3528,888,Watching,277,4.157
3529,888,To-Watch,2801,4.157
3530,888,Dropped,305,4.157
