Index,Anime Index,Warning
388,287,None
389,288,None
390,289,Nudity
391,289,Violence
392,290,None
393,291,None
394,292,None
395,293,None
396,294,Nudity
397,295,Violence
398,296,Animal Abuse
399,296,Explicit Violence
400,296,Mature Themes
401,297,None
402,298,None
403,299,None
404,300,None
405,301,None
406,302,Violence
407,303,None
408,304,Violence
409,305,None
410,306,None
411,307,None
412,308,Violence
413,309,None
414,310,None
415,311,None
416,312,Drug Use
417,312,Explicit Sex
418,312,Explicit Violence
419,312,Mature Themes
420,312,Physical Abuse
421,312,Sexual Abuse
422,313,None
423,314,None
424,315,None
425,316,Mature Themes
426,316,Nudity
427,316,Physical Abuse
428,316,Sexual Abuse
429,316,Violence
430,317,None
431,318,None
432,319,None
433,320,Sexual Content
434,321,None
435,322,Animal Abuse
436,322,Mature Themes
437,323,None
438,324,None
439,325,None
440,326,None
441,327,Explicit Violence
442,328,None
443,329,None
444,330,None
445,331,Mature Themes
446,331,Nudity
447,331,Suicide
448,332,None
449,333,Explicit Violence
450,333,Mature Themes
451,333,Suicide
452,334,None
453,335,None
454,336,None
455,337,None
456,338,None
457,339,Violence
458,340,None
459,341,Mature Themes
460,341,Physical Abuse
461,341,Violence
462,342,None
463,343,None
464,344,Violence
465,345,None
466,346,Violence
467,347,Violence
468,348,None
469,349,Sexual Content
470,350,Violence
471,351,None
472,352,None
473,353,None
474,354,None
475,355,Violence
476,356,None
477,357,None
478,358,None
479,359,None
480,360,None
481,361,None
482,362,None
483,363,Violence
484,364,None
485,365,Mature Themes
486,366,None
487,367,None
488,368,None
489,369,Mature Themes
490,370,Nudity
491,370,Violence
492,371,None
493,372,None
494,373,None
495,374,None
496,375,None
497,376,None
498,377,None
499,378,None
500,379,None
501,380,None
502,381,None
503,382,None
504,383,Explicit Sex
505,383,Explicit Violence
506,384,Mature Themes
507,384,Prostitution
508,385,None
509,386,None
510,387,None
511,388,None
512,389,None
513,390,Violence
514,391,None
515,392,None
516,393,None
517,394,Violence
518,395,Explicit Sex
519,395,Explicit Violence
520,395,Mature Themes
521,395,Physical Abuse
522,395,Sexual Abuse
523,396,None
524,397,None
525,398,None
526,399,None
527,400,None
528,401,None
529,402,None
530,403,Violence
531,404,None
532,405,None
533,406,None
534,407,None
535,408,None
536,409,None
537,410,None
538,411,None
539,412,None
540,413,Drug Use
541,413,Mature Themes
542,413,Violence
543,414,None
544,415,None
545,416,None
546,417,None
547,418,None
548,419,None
549,420,None
550,421,None
551,422,None
552,423,None
553,424,None
554,425,None
555,426,None
556,427,None
557,428,Violence
558,429,Violence
559,430,None
560,431,None
561,432,None
562,433,Explicit Violence
563,434,None
564,435,Violence
565,436,Nudity
566,436,Violence
567,437,None
568,438,None
569,439,None
570,440,Violence
571,441,None
572,442,None
573,443,None
574,444,None
575,445,None
576,446,None
577,447,None
578,448,None
579,449,None
580,450,None
581,451,None
582,452,Violence
583,453,None
584,454,None
585,455,None
586,456,None
587,457,None
588,458,None
589,459,None
590,460,None
591,461,None
592,462,None
593,463,None
594,464,None
595,465,None
596,466,None
597,467,None
598,468,Violence
599,469,None
600,470,None
601,471,None
602,472,Nudity
603,472,Violence
604,473,None
605,474,None
606,475,None
607,476,None
608,477,None
609,478,None
610,479,None
611,480,None
612,481,None
613,482,None
614,483,None
615,484,None
616,485,Explicit Violence
617,485,Mature Themes
618,485,Physical Abuse
619,486,None
620,487,None
621,488,None
622,489,None
623,490,Cannibalism
624,490,Explicit Violence
625,490,Mature Themes
626,490,Physical Abuse
627,491,None
628,492,None
629,493,None
630,494,None
631,495,None
632,496,None
633,497,Animal Abuse
634,497,Mature Themes
635,498,Explicit Violence
636,499,None
637,500,None
638,501,Violence
639,502,Mature Themes
640,502,Physical Abuse
641,503,None
642,504,None
643,505,None
644,506,None
645,507,None
646,508,None
647,509,None
648,510,None
649,511,None
650,512,None
651,513,None
652,514,None
653,515,None
654,516,None
655,517,Violence
656,518,None
657,519,None
658,520,None
659,521,None
660,522,None
661,523,None
662,524,Explicit Violence
663,525,Nudity
664,526,None
665,527,None
666,528,None
667,529,None
668,530,None
669,531,None
670,532,None
671,533,None
672,534,None
673,535,None
674,536,None
675,537,None
676,538,None
677,539,None
678,540,None
679,541,None
680,542,None
681,543,None
682,544,None
683,545,None
684,546,None
685,547,None
686,548,None
687,549,None
688,550,Sexual Content
689,551,None
690,552,None
691,553,None
692,554,None
693,555,None
694,556,Violence
695,557,None
696,558,None
697,559,None
698,560,Bullying
699,560,Mature Themes
700,560,Physical Abuse
701,561,None
702,562,None
703,563,None
704,564,None
705,565,Violence
706,566,None
707,567,None
708,568,Violence
709,569,None
710,570,Emotional Abuse
711,571,None
712,572,None
713,573,None
714,574,None
715,575,None
716,576,None
717,577,None
718,578,Violence
719,579,Explicit Violence
720,579,Nudity
721,580,Violence
722,581,Nudity
723,581,Violence
724,582,Explicit Violence
725,583,None
726,584,None
727,585,Sexual Content
728,586,Emotional Abuse
729,586,Explicit Violence
730,586,Mature Themes
731,586,Physical Abuse
732,586,Domestic Abuse
733,587,None
734,588,Nudity
735,589,None
736,590,None
737,591,None
738,592,None
739,593,Violence
740,594,None
741,595,Explicit Violence
742,595,Nudity
743,596,Violence
744,597,None
745,598,Sexual Content
746,599,None
747,600,None
748,601,None
749,602,None
750,603,Explicit Violence
751,604,None
752,605,None
753,606,None
754,607,Explicit Violence
755,607,Mature Themes
756,607,Physical Abuse
757,608,None
758,609,None
759,610,None
760,611,None
761,612,None
762,613,Violence
763,614,None
764,615,None
765,616,Violence
766,617,None
767,618,Explicit Violence
768,619,Explicit Violence
769,620,Nudity
770,620,Violence
771,621,None
772,622,None
773,623,Explicit Sex
774,623,Mature Themes
775,623,Physical Abuse
776,623,Sexual Abuse
777,623,Violence
778,624,Explicit Sex
779,624,Explicit Violence
780,624,Mature Themes
781,624,Physical Abuse
782,624,Sexual Abuse
783,625,None
784,626,None
785,627,None
786,628,None
787,629,None
788,630,Nudity
789,630,Violence
790,631,None
791,632,Emotional Abuse
792,632,Explicit Violence
793,632,Mature Themes
794,633,None
795,634,None
796,635,None
797,636,None
798,637,None
799,638,None
800,639,Mature Themes
801,639,Domestic Abuse
802,640,None
803,641,Violence
804,642,None
805,643,Violence
806,644,None
807,645,None
808,646,None
809,647,None
810,648,None
811,649,None
812,650,None
813,651,None
814,652,None
815,653,Violence
816,654,None
817,655,None
818,656,None
819,657,None
820,658,Drug Use
821,658,Mature Themes
822,658,Violence
823,659,Violence
824,660,Nudity
825,661,None
826,662,None
827,663,None
828,664,None
829,665,None
830,666,None
831,667,None
832,668,None
833,669,None
834,670,Bullying
835,670,Emotional Abuse
836,670,Mature Themes
837,670,Physical Abuse
838,670,Domestic Abuse
839,671,None
840,672,Mature Themes
841,672,Physical Abuse
842,672,Domestic Abuse
843,673,None
844,674,None
845,675,None
846,676,Violence
847,677,None
848,678,None
849,679,None
850,680,Nudity
851,681,None
852,682,None
853,683,None
854,684,None
855,685,Animal Abuse
856,685,Mature Themes
857,685,Violence
858,686,None
859,687,None
860,688,Mature Themes
861,688,Suicide
862,689,Sexual Content
863,690,None
864,691,None
865,692,None
866,693,Violence
867,694,None
868,695,None
869,696,None
870,697,None
871,698,None
872,699,None
873,700,None
874,701,None
875,702,None
876,703,Violence
877,704,Violence
878,705,None
879,706,None
880,707,None
881,708,Violence
882,709,None
883,710,Violence
884,711,None
885,712,None
886,713,None
887,714,None
888,715,Violence
889,716,Explicit Violence
890,716,Mature Themes
891,716,Physical Abuse
892,716,Sexual Content
893,717,None
894,718,None
895,719,Explicit Violence
896,720,None
897,721,None
898,722,Sexual Content
899,723,Violence
900,724,None
901,725,None
902,726,None
903,727,None
904,728,None
905,729,Bullying
906,729,Emotional Abuse
907,730,Explicit Violence
908,730,Nudity
909,731,Mature Themes
910,731,Physical Abuse
911,731,Domestic Abuse
912,732,None
913,733,None
914,734,None
915,735,None
916,736,Explicit Violence
917,737,None
918,738,None
919,739,None
920,740,None
921,741,None
922,742,None
923,743,Explicit Violence
924,744,None
925,745,Violence
926,746,None
927,747,None
928,748,Animal Abuse
929,748,Explicit Violence
930,748,Mature Themes
931,749,None
932,750,None
933,751,None
934,752,None
935,753,Explicit Violence
936,753,Mature Themes
937,753,Physical Abuse
938,754,None
939,755,Explicit Violence
940,756,Nudity
941,757,Violence
942,758,None
943,759,None
944,760,None
945,761,None
946,762,None
947,763,None
948,764,None
949,765,None
950,766,Sexual Content
951,767,Mature Themes
952,767,Suicide
953,768,None
954,769,Bullying
955,769,Mature Themes
956,769,Physical Abuse
957,770,None
958,771,None
959,772,None
960,773,None
961,774,None
962,775,None
963,776,None
964,777,None
965,778,None
966,779,None
967,780,None
968,781,None
969,782,None
970,783,None
971,784,None
972,785,None
973,786,None
974,787,Explicit Violence
975,787,Mature Themes
976,787,Nudity
977,787,Sexual Abuse
978,787,Sexual Content
979,787,Domestic Abuse
980,788,None
981,789,None
982,790,None
983,791,None
984,792,Explicit Violence
985,792,Mature Themes
986,792,Physical Abuse
987,793,Mature Themes
988,793,Physical Abuse
989,793,Sexual Abuse
990,793,Suicide
991,794,None
992,795,None
993,796,None
994,797,Drug Use
995,797,Mature Themes
996,798,Mature Themes
997,798,Suicide
998,798,Violence
999,799,None
1000,800,Nudity
1001,800,Violence
1002,801,Sexual Content
1003,802,None
1004,803,Explicit Sex
1005,804,None
1006,805,None
1007,806,None
1008,807,None
1009,808,None
1010,809,None
1011,810,None
1012,811,None
1013,812,None
1014,813,None
1015,814,None
1016,815,None
1017,816,None
1018,817,Nudity
1019,818,None
1020,819,None
1021,820,Mature Themes
1022,820,Suicide
1023,821,None
1024,822,None
1025,823,Violence
1026,824,None
1027,825,None
1028,826,None
1029,827,None
1030,828,Violence
1031,829,None
1032,830,None
1033,831,None
1034,832,None
1035,833,None
1036,834,None
1037,835,Sexual Content
1038,836,Explicit Violence
1039,837,Cannibalism
1040,837,Explicit Violence
1041,838,None
1042,839,None
1043,840,None
1044,841,Sexual Content
1045,842,Mature Themes
1046,842,Suicide
1047,843,None
1048,844,None
1049,845,None
1050,846,None
1051,847,None
1052,848,None
1053,849,None
1054,850,Sexual Content
1055,851,None
1056,852,Explicit Sex
1057,852,Mature Themes
1058,852,Prostitution
1059,853,None
1060,854,None
1061,855,None
1062,856,Animal Abuse
1063,856,Emotional Abuse
1064,856,Explicit Violence
1065,856,Mature Themes
1066,856,Nudity
1067,856,Physical Abuse
1068,857,None
1069,858,None
1070,859,None
